,Best Values
0,0.0
1,0.0
2,0.0
3,-0.5
4,0.3
5,-1.5707963267948966
6,0.4
7,0.3
8,0.0
9,0.0
10,0.0
11,0.0
12,-0.5
13,-0.3
14,-1.5707963267948966
15,0.4
16,-0.3
17,0.0
18,0.0
19,0.0
20,0.0
21,-0.5
22,-0.4
23,-1.5707963267948966
24,0.4
25,-0.4
26,0.0
27,0.0
28,0.0
29,0.0
30,-0.5
31,0.4
32,-1.5707963267948966
33,0.4
34,0.4
35,0.0
36,0.08
