Maximum Speed,Number of Evaluations
2.9587567045343866,0
2.9587567045343866,1
16.01042528747651,2
16.01042528747651,3
16.01042528747651,4
16.01042528747651,5
16.01042528747651,6
16.01042528747651,7
16.01042528747651,8
16.01042528747651,9
16.01042528747651,10
16.01042528747651,11
16.01042528747651,12
16.01042528747651,13
16.01042528747651,14
16.01042528747651,15
16.01042528747651,16
16.01042528747651,17
16.01042528747651,18
16.01042528747651,19
16.01042528747651,20
16.01042528747651,21
16.01042528747651,22
16.01042528747651,23
16.01042528747651,24
16.01042528747651,25
16.01042528747651,26
16.01042528747651,27
16.01042528747651,28
16.01042528747651,29
16.01042528747651,30
16.01042528747651,31
16.01042528747651,32
16.01042528747651,33
16.01042528747651,34
16.01042528747651,35
16.01042528747651,36
16.01042528747651,37
16.01042528747651,38
16.01042528747651,39
22.217328276642196,40
22.217328276642196,41
22.217328276642196,42
22.217328276642196,43
22.217328276642196,44
22.217328276642196,45
22.217328276642196,46
22.217328276642196,47
22.217328276642196,48
22.217328276642196,49
22.217328276642196,50
22.217328276642196,51
22.217328276642196,52
22.217328276642196,53
22.217328276642196,54
22.217328276642196,55
22.217328276642196,56
22.217328276642196,57
22.217328276642196,58
22.217328276642196,59
22.217328276642196,60
22.217328276642196,61
22.217328276642196,62
22.217328276642196,63
22.217328276642196,64
22.217328276642196,65
22.217328276642196,66
22.217328276642196,67
22.217328276642196,68
22.217328276642196,69
22.217328276642196,70
22.217328276642196,71
22.217328276642196,72
22.217328276642196,73
22.217328276642196,74
22.217328276642196,75
22.217328276642196,76
22.217328276642196,77
22.217328276642196,78
22.217328276642196,79
22.217328276642196,80
22.217328276642196,81
22.217328276642196,82
22.217328276642196,83
22.217328276642196,84
22.217328276642196,85
22.217328276642196,86
22.217328276642196,87
22.217328276642196,88
22.217328276642196,89
22.217328276642196,90
22.217328276642196,91
22.217328276642196,92
22.217328276642196,93
22.217328276642196,94
22.217328276642196,95
22.217328276642196,96
22.217328276642196,97
22.217328276642196,98
22.217328276642196,99
22.217328276642196,100
22.217328276642196,101
22.217328276642196,102
22.217328276642196,103
22.217328276642196,104
22.217328276642196,105
22.217328276642196,106
22.217328276642196,107
22.217328276642196,108
22.217328276642196,109
22.217328276642196,110
22.217328276642196,111
22.217328276642196,112
22.217328276642196,113
22.217328276642196,114
22.217328276642196,115
22.217328276642196,116
22.217328276642196,117
22.217328276642196,118
22.217328276642196,119
22.217328276642196,120
22.217328276642196,121
22.217328276642196,122
22.217328276642196,123
22.217328276642196,124
22.217328276642196,125
22.217328276642196,126
22.217328276642196,127
22.217328276642196,128
22.217328276642196,129
22.217328276642196,130
22.217328276642196,131
22.217328276642196,132
22.217328276642196,133
22.217328276642196,134
22.217328276642196,135
22.217328276642196,136
22.217328276642196,137
22.217328276642196,138
22.217328276642196,139
22.217328276642196,140
22.217328276642196,141
22.217328276642196,142
22.217328276642196,143
22.217328276642196,144
22.217328276642196,145
22.217328276642196,146
22.217328276642196,147
22.217328276642196,148
22.217328276642196,149
22.217328276642196,150
22.217328276642196,151
22.217328276642196,152
22.217328276642196,153
22.217328276642196,154
22.217328276642196,155
22.217328276642196,156
22.217328276642196,157
22.217328276642196,158
22.217328276642196,159
22.217328276642196,160
22.217328276642196,161
22.217328276642196,162
22.217328276642196,163
22.217328276642196,164
22.217328276642196,165
22.217328276642196,166
22.217328276642196,167
22.217328276642196,168
22.217328276642196,169
22.217328276642196,170
22.217328276642196,171
22.217328276642196,172
22.217328276642196,173
22.217328276642196,174
22.217328276642196,175
22.217328276642196,176
22.217328276642196,177
22.217328276642196,178
22.217328276642196,179
22.217328276642196,180
22.217328276642196,181
22.217328276642196,182
22.217328276642196,183
22.217328276642196,184
22.217328276642196,185
22.217328276642196,186
22.217328276642196,187
22.217328276642196,188
22.217328276642196,189
22.217328276642196,190
22.217328276642196,191
22.217328276642196,192
22.217328276642196,193
22.217328276642196,194
22.217328276642196,195
22.217328276642196,196
22.217328276642196,197
22.217328276642196,198
22.217328276642196,199
22.217328276642196,200
22.217328276642196,201
22.217328276642196,202
22.217328276642196,203
22.217328276642196,204
22.217328276642196,205
22.217328276642196,206
22.217328276642196,207
22.217328276642196,208
22.217328276642196,209
22.217328276642196,210
22.217328276642196,211
22.217328276642196,212
22.217328276642196,213
22.217328276642196,214
22.217328276642196,215
22.217328276642196,216
22.217328276642196,217
22.217328276642196,218
