Maximum Speed,Number of Evaluations
9.460721300058758,0
9.460721300058758,1
9.460721300058758,2
9.460721300058758,3
9.460721300058758,4
9.460721300058758,5
9.460721300058758,6
9.460721300058758,7
9.460721300058758,8
11.071437014633512,9
11.071437014633512,10
11.071437014633512,11
11.071437014633512,12
11.071437014633512,13
11.071437014633512,14
11.071437014633512,15
11.071437014633512,16
11.071437014633512,17
11.071437014633512,18
11.071437014633512,19
11.071437014633512,20
11.071437014633512,21
17.148144943463915,22
17.148144943463915,23
17.148144943463915,24
17.148144943463915,25
39.36182563857861,26
39.36182563857861,27
39.36182563857861,28
39.36182563857861,29
39.36182563857861,30
39.36182563857861,31
39.36182563857861,32
39.36182563857861,33
39.36182563857861,34
39.36182563857861,35
39.36182563857861,36
39.36182563857861,37
39.36182563857861,38
39.36182563857861,39
39.36182563857861,40
39.36182563857861,41
39.36182563857861,42
39.36182563857861,43
39.36182563857861,44
39.36182563857861,45
39.36182563857861,46
39.36182563857861,47
39.36182563857861,48
39.36182563857861,49
39.36182563857861,50
39.36182563857861,51
39.36182563857861,52
39.36182563857861,53
39.36182563857861,54
39.36182563857861,55
39.36182563857861,56
39.36182563857861,57
39.36182563857861,58
39.36182563857861,59
39.36182563857861,60
39.36182563857861,61
39.36182563857861,62
39.36182563857861,63
39.36182563857861,64
39.36182563857861,65
39.36182563857861,66
39.36182563857861,67
39.36182563857861,68
39.36182563857861,69
39.36182563857861,70
39.36182563857861,71
39.36182563857861,72
39.36182563857861,73
39.36182563857861,74
39.36182563857861,75
39.36182563857861,76
39.36182563857861,77
39.36182563857861,78
39.36182563857861,79
39.36182563857861,80
39.36182563857861,81
39.36182563857861,82
39.36182563857861,83
39.36182563857861,84
39.36182563857861,85
39.36182563857861,86
39.36182563857861,87
39.36182563857861,88
39.36182563857861,89
39.36182563857861,90
39.36182563857861,91
39.36182563857861,92
39.36182563857861,93
39.36182563857861,94
39.36182563857861,95
39.36182563857861,96
39.36182563857861,97
39.36182563857861,98
39.36182563857861,99
39.36182563857861,100
39.36182563857861,101
39.36182563857861,102
39.36182563857861,103
39.36182563857861,104
39.36182563857861,105
39.36182563857861,106
39.36182563857861,107
39.36182563857861,108
39.36182563857861,109
39.36182563857861,110
39.36182563857861,111
39.36182563857861,112
39.36182563857861,113
39.36182563857861,114
39.36182563857861,115
39.36182563857861,116
39.36182563857861,117
39.36182563857861,118
39.36182563857861,119
39.36182563857861,120
39.36182563857861,121
39.36182563857861,122
39.36182563857861,123
39.36182563857861,124
39.36182563857861,125
39.36182563857861,126
39.36182563857861,127
39.36182563857861,128
39.36182563857861,129
39.36182563857861,130
39.36182563857861,131
39.36182563857861,132
39.36182563857861,133
39.36182563857861,134
39.36182563857861,135
39.36182563857861,136
39.36182563857861,137
39.36182563857861,138
39.36182563857861,139
39.36182563857861,140
39.36182563857861,141
39.36182563857861,142
39.36182563857861,143
39.36182563857861,144
39.36182563857861,145
39.36182563857861,146
39.36182563857861,147
39.36182563857861,148
39.36182563857861,149
39.36182563857861,150
39.36182563857861,151
39.36182563857861,152
39.36182563857861,153
39.36182563857861,154
39.36182563857861,155
39.36182563857861,156
39.36182563857861,157
39.36182563857861,158
39.36182563857861,159
39.36182563857861,160
39.36182563857861,161
39.36182563857861,162
39.36182563857861,163
39.36182563857861,164
39.36182563857861,165
39.36182563857861,166
39.36182563857861,167
39.36182563857861,168
39.36182563857861,169
39.36182563857861,170
39.36182563857861,171
39.36182563857861,172
39.36182563857861,173
39.36182563857861,174
39.36182563857861,175
39.36182563857861,176
39.36182563857861,177
39.36182563857861,178
39.36182563857861,179
39.36182563857861,180
39.36182563857861,181
39.36182563857861,182
39.36182563857861,183
39.36182563857861,184
39.36182563857861,185
39.36182563857861,186
39.36182563857861,187
39.36182563857861,188
39.36182563857861,189
39.36182563857861,190
39.36182563857861,191
39.36182563857861,192
39.36182563857861,193
39.36182563857861,194
39.36182563857861,195
39.36182563857861,196
39.36182563857861,197
39.36182563857861,198
39.36182563857861,199
39.36182563857861,200
39.36182563857861,201
39.36182563857861,202
39.36182563857861,203
39.36182563857861,204
39.36182563857861,205
39.36182563857861,206
39.36182563857861,207
39.36182563857861,208
39.36182563857861,209
39.36182563857861,210
39.36182563857861,211
39.36182563857861,212
39.36182563857861,213
39.36182563857861,214
39.36182563857861,215
39.36182563857861,216
39.36182563857861,217
39.36182563857861,218
39.36182563857861,219
39.36182563857861,220
39.36182563857861,221
39.36182563857861,222
39.36182563857861,223
39.36182563857861,224
39.36182563857861,225
39.36182563857861,226
39.36182563857861,227
39.36182563857861,228
39.36182563857861,229
39.36182563857861,230
39.36182563857861,231
39.36182563857861,232
39.36182563857861,233
39.36182563857861,234
39.36182563857861,235
39.36182563857861,236
39.36182563857861,237
39.36182563857861,238
39.36182563857861,239
39.36182563857861,240
39.36182563857861,241
39.36182563857861,242
39.36182563857861,243
39.36182563857861,244
39.36182563857861,245
39.36182563857861,246
39.36182563857861,247
39.36182563857861,248
39.36182563857861,249
39.36182563857861,250
39.36182563857861,251
39.36182563857861,252
39.36182563857861,253
39.36182563857861,254
39.36182563857861,255
39.36182563857861,256
39.36182563857861,257
39.36182563857861,258
39.36182563857861,259
39.36182563857861,260
39.36182563857861,261
39.36182563857861,262
39.36182563857861,263
39.36182563857861,264
39.36182563857861,265
39.36182563857861,266
39.36182563857861,267
39.36182563857861,268
39.36182563857861,269
39.36182563857861,270
39.36182563857861,271
39.36182563857861,272
39.36182563857861,273
39.36182563857861,274
39.36182563857861,275
39.36182563857861,276
39.36182563857861,277
39.36182563857861,278
39.36182563857861,279
39.36182563857861,280
39.36182563857861,281
39.36182563857861,282
39.36182563857861,283
39.36182563857861,284
39.36182563857861,285
39.36182563857861,286
39.36182563857861,287
39.36182563857861,288
39.36182563857861,289
39.36182563857861,290
39.36182563857861,291
39.36182563857861,292
39.36182563857861,293
39.36182563857861,294
39.36182563857861,295
39.36182563857861,296
39.36182563857861,297
39.36182563857861,298
39.36182563857861,299
39.36182563857861,300
39.36182563857861,301
39.36182563857861,302
39.36182563857861,303
39.36182563857861,304
39.36182563857861,305
39.36182563857861,306
39.36182563857861,307
39.36182563857861,308
39.36182563857861,309
39.36182563857861,310
39.36182563857861,311
39.36182563857861,312
39.36182563857861,313
39.36182563857861,314
39.36182563857861,315
39.36182563857861,316
39.36182563857861,317
39.36182563857861,318
39.36182563857861,319
39.36182563857861,320
39.36182563857861,321
39.36182563857861,322
39.36182563857861,323
39.36182563857861,324
39.36182563857861,325
39.36182563857861,326
39.36182563857861,327
39.36182563857861,328
39.36182563857861,329
39.36182563857861,330
39.36182563857861,331
39.36182563857861,332
39.36182563857861,333
39.36182563857861,334
39.36182563857861,335
39.36182563857861,336
39.36182563857861,337
39.36182563857861,338
39.36182563857861,339
39.36182563857861,340
39.36182563857861,341
39.36182563857861,342
39.36182563857861,343
39.36182563857861,344
39.36182563857861,345
39.36182563857861,346
39.36182563857861,347
39.36182563857861,348
39.36182563857861,349
39.36182563857861,350
39.36182563857861,351
39.36182563857861,352
39.36182563857861,353
39.36182563857861,354
39.36182563857861,355
39.36182563857861,356
39.36182563857861,357
39.36182563857861,358
39.36182563857861,359
39.36182563857861,360
39.36182563857861,361
39.36182563857861,362
39.36182563857861,363
39.36182563857861,364
39.36182563857861,365
39.36182563857861,366
39.36182563857861,367
39.36182563857861,368
39.36182563857861,369
39.36182563857861,370
39.36182563857861,371
39.36182563857861,372
39.36182563857861,373
39.36182563857861,374
39.36182563857861,375
39.36182563857861,376
39.36182563857861,377
39.36182563857861,378
39.36182563857861,379
39.36182563857861,380
39.36182563857861,381
39.36182563857861,382
39.36182563857861,383
39.36182563857861,384
39.36182563857861,385
39.36182563857861,386
39.36182563857861,387
39.36182563857861,388
39.36182563857861,389
39.36182563857861,390
39.36182563857861,391
39.36182563857861,392
39.36182563857861,393
39.36182563857861,394
39.36182563857861,395
39.36182563857861,396
39.36182563857861,397
39.36182563857861,398
39.36182563857861,399
39.36182563857861,400
39.36182563857861,401
39.36182563857861,402
39.36182563857861,403
39.36182563857861,404
39.36182563857861,405
39.36182563857861,406
39.36182563857861,407
39.36182563857861,408
39.36182563857861,409
39.36182563857861,410
39.36182563857861,411
39.36182563857861,412
39.36182563857861,413
39.36182563857861,414
39.36182563857861,415
39.36182563857861,416
39.36182563857861,417
39.36182563857861,418
39.36182563857861,419
39.36182563857861,420
39.36182563857861,421
39.36182563857861,422
39.36182563857861,423
39.36182563857861,424
39.36182563857861,425
39.36182563857861,426
39.36182563857861,427
39.36182563857861,428
39.36182563857861,429
39.36182563857861,430
39.36182563857861,431
39.36182563857861,432
39.36182563857861,433
39.36182563857861,434
39.36182563857861,435
39.36182563857861,436
39.36182563857861,437
39.36182563857861,438
39.36182563857861,439
39.36182563857861,440
39.36182563857861,441
39.36182563857861,442
39.36182563857861,443
39.36182563857861,444
39.36182563857861,445
