Best Overall Speed,Number of Evaluations,Speeds
4.158309831602858,0,4.158309831602858
4.158309831602858,1,4.00582737348729
4.550212171257516,2,4.550212171257516
5.558440052342489,3,5.558440052342489
5.558440052342489,4,4.728198599323127
5.558440052342489,5,3.617602928376051
5.558440052342489,6,5.116378876932894
5.558440052342489,7,5.370049659892488
5.558440052342489,8,4.990329181582575
5.644703416639708,9,5.644703416639708
5.644703416639708,10,4.524311542890098
5.644703416639708,11,2.6052048045895835
5.644703416639708,12,5.001789820474101
5.644703416639708,13,4.51883349037623
5.644703416639708,14,4.4231468086933585
5.644703416639708,15,3.7814259988123067
5.644703416639708,16,4.724562399328152
5.644703416639708,17,4.299651284996286
5.9166105802770455,18,5.9166105802770455
5.9166105802770455,19,5.128451921987953
5.9166105802770455,20,3.1337670896094596
5.9166105802770455,21,5.497190118312573
5.9166105802770455,22,5.234454984252696
5.9166105802770455,23,5.212637116814057
5.9166105802770455,24,5.671655675217565
5.9166105802770455,25,4.980629833153095
5.9166105802770455,26,5.301210654410825
5.9166105802770455,27,5.184552441015557
5.9166105802770455,28,3.3934737966509916
5.9166105802770455,29,4.999332896102386
5.9166105802770455,30,4.864570014732893
5.9166105802770455,31,4.990205155460725
5.9166105802770455,32,4.654930946228826
5.9166105802770455,33,4.707097322142735
5.9166105802770455,34,4.60434634350203
5.9166105802770455,35,3.7854895282235224
5.9166105802770455,36,3.653809664709317
5.9166105802770455,37,3.9276126355892864
5.9166105802770455,38,5.221713211361215
5.9166105802770455,39,5.531494550318834
5.9166105802770455,40,4.7245046853387676
5.9166105802770455,41,5.041560221414405
5.9166105802770455,42,5.913642804620945
5.9166105802770455,43,5.400850474269833
5.9166105802770455,44,4.60608473738162
5.9166105802770455,45,5.71468542276835
5.9166105802770455,46,5.158943827198702
5.9166105802770455,47,5.224604714835493
5.9166105802770455,48,4.729611790203329
5.9166105802770455,49,5.301625587300675
5.9166105802770455,50,5.445379969362881
5.9166105802770455,51,4.145744229179183
5.9166105802770455,52,4.980198531943779
5.9166105802770455,53,4.572482313966933
5.9166105802770455,54,5.219923128346836
5.9166105802770455,55,5.291432349133582
5.9166105802770455,56,5.612392601856181
5.9166105802770455,57,4.329177452416317
5.9166105802770455,58,5.514645815818411
5.9166105802770455,59,5.360102577174658
5.9166105802770455,60,5.189991236048297
5.9166105802770455,61,4.525384715687323
5.9166105802770455,62,3.3612520029836834
5.9166105802770455,63,4.759890900598502
5.9166105802770455,64,4.275339231008885
5.9166105802770455,65,4.7031241736078755
5.9166105802770455,66,5.48307464074494
5.9166105802770455,67,4.761832943714509
5.9166105802770455,68,4.882263417913863
5.9166105802770455,69,5.180921115928393
5.9166105802770455,70,4.280159705170154
5.9166105802770455,71,5.11037917145429
5.9166105802770455,72,4.746594825754875
5.9166105802770455,73,5.630023196515551
5.9166105802770455,74,5.419846060988651
5.9166105802770455,75,5.203851485981633
5.9166105802770455,76,4.9631065604562785
5.9166105802770455,77,5.3958179375728195
5.9166105802770455,78,5.3404933105281165
5.9166105802770455,79,5.351321027509866
5.9166105802770455,80,5.209153034947945
5.9166105802770455,81,5.225134356276532
5.9166105802770455,82,5.2549961347758245
5.9166105802770455,83,5.031126965426352
5.9166105802770455,84,5.16402064030529
5.9166105802770455,85,5.441443686264106
5.9166105802770455,86,4.533745081127625
5.9166105802770455,87,4.635335865054769
5.9166105802770455,88,4.717435853929284
5.9166105802770455,89,4.645197093225054
5.9166105802770455,90,5.476693227255
5.9166105802770455,91,5.6445091756622725
5.9166105802770455,92,5.1332370031112795
5.9166105802770455,93,5.790760082971261
5.9166105802770455,94,5.044137525911493
5.9166105802770455,95,4.635481547316931
5.9166105802770455,96,2.787650377281812
5.9166105802770455,97,5.568902602254274
5.9166105802770455,98,4.42447993786978
5.9166105802770455,99,3.98741228314129
5.9166105802770455,100,4.889795510859312
5.9166105802770455,101,4.944368208409382
5.9166105802770455,102,4.788790843078719
5.9166105802770455,103,4.017051281991298
5.9166105802770455,104,5.145293991197429
5.9166105802770455,105,4.745019727413868
5.9166105802770455,106,5.509413980450168
5.9166105802770455,107,5.425160370086682
5.9166105802770455,108,5.250237684115239
5.9166105802770455,109,5.314574970356763
5.9166105802770455,110,4.978212904776062
5.9166105802770455,111,5.1251661925651035
5.9166105802770455,112,5.392504528744237
5.9166105802770455,113,5.196250228116046
5.9166105802770455,114,5.275593939011012
5.9166105802770455,115,4.8051784457246365
5.9166105802770455,116,5.662488546346101
5.9166105802770455,117,4.536575136474607
5.9166105802770455,118,4.461175762122211
5.9166105802770455,119,4.686402226050533
5.9166105802770455,120,4.9957816787792675
5.9166105802770455,121,4.513809541172343
5.9166105802770455,122,4.364951971379143
5.9166105802770455,123,5.3899869860698315
5.9166105802770455,124,4.575644759260398
5.9166105802770455,125,5.435488692398823
5.9166105802770455,126,5.007008231178203
5.9166105802770455,127,5.542063462928237
5.9166105802770455,128,5.069176676281991
5.9166105802770455,129,4.767236841962373
5.9166105802770455,130,5.715096943974463
5.9166105802770455,131,5.9153628751150675
5.9166105802770455,132,4.520561752551033
5.9166105802770455,133,4.026542155038738
5.9166105802770455,134,4.337120769214217
5.9166105802770455,135,4.877440549925631
5.9166105802770455,136,2.131871417458428
5.9166105802770455,137,4.287494921278364
5.9166105802770455,138,3.8140139083394993
5.9166105802770455,139,4.723902643968665
5.9166105802770455,140,4.862318345085797
5.9166105802770455,141,4.809067771006287
5.9166105802770455,142,5.7861017180747165
5.9166105802770455,143,5.804791705570587
5.929379532737212,144,5.929379532737212
5.929379532737212,145,4.49910155733033
5.929379532737212,146,5.151999838017265
5.929379532737212,147,5.149852221527138
5.929379532737212,148,4.20788621811613
5.929379532737212,149,3.7236053891464276
5.929379532737212,150,5.381793811999087
5.929379532737212,151,5.183024801688231
5.929379532737212,152,5.308176920399004
6.246902296838282,153,6.246902296838282
6.246902296838282,154,5.011593738362014
6.246902296838282,155,4.244974177191132
6.246902296838282,156,5.140850736855188
6.246902296838282,157,4.824114572381878
6.246902296838282,158,3.439306246748941
6.246902296838282,159,5.065515062357586
6.246902296838282,160,4.8038490840630965
6.246902296838282,161,5.429052700322018
6.246902296838282,162,4.917072175608817
6.246902296838282,163,4.838531227076885
6.246902296838282,164,4.237630830140705
6.246902296838282,165,4.332719646762383
6.246902296838282,166,4.349201868480837
6.246902296838282,167,4.130672592795478
6.246902296838282,168,3.54059803441977
6.246902296838282,169,4.075600212407854
6.246902296838282,170,5.260439845935035
6.246902296838282,171,5.34860919249028
6.246902296838282,172,5.475512880667049
6.246902296838282,173,5.492359713766972
6.246902296838282,174,4.697871321701708
6.246902296838282,175,4.71296863383137
6.246902296838282,176,4.863068404638097
6.246902296838282,177,5.412736804405665
6.246902296838282,178,4.794327942447311
6.246902296838282,179,5.146025473598457
6.246902296838282,180,4.696060430227349
6.246902296838282,181,4.982245343518222
6.246902296838282,182,4.598663490704054
