Best Overall Speed,Number of Evaluations,Speeds
3.105102514672801,0,3.105102514672801
3.105102514672801,1,2.4750841039033427
3.105102514672801,2,2.53678848540421
3.105102514672801,3,2.3257961656386357
3.105102514672801,4,2.292341145380158
3.105102514672801,5,2.3806511553272776
3.105102514672801,6,2.450006747200956
3.105102514672801,7,2.3242633525347514
3.105102514672801,8,2.3204374682210216
3.105102514672801,9,2.5981669016428235
3.105102514672801,10,2.5460922852206687
3.105102514672801,11,2.5341265373643873
3.105102514672801,12,2.4018053572832962
3.105102514672801,13,2.382351192139725
3.105102514672801,14,2.3602247268393737
3.105102514672801,15,2.3072352829071603
3.105102514672801,16,2.5439700153235503
3.105102514672801,17,2.484517254702915
3.105102514672801,18,2.5314287752497293
3.105102514672801,19,2.3827814235222324
3.105102514672801,20,2.3537755203486883
3.105102514672801,21,2.5003500133579095
3.105102514672801,22,2.605961198962347
3.105102514672801,23,2.488786474382709
3.105102514672801,24,2.5230079558353418
3.105102514672801,25,2.299494816120618
3.105102514672801,26,2.404434142936889
3.105102514672801,27,2.330508963254367
3.105102514672801,28,2.324233394408162
3.105102514672801,29,2.3931140969363094
3.105102514672801,30,2.4179025936550116
3.105102514672801,31,2.420079463969789
3.105102514672801,32,2.4253444453191486
3.105102514672801,33,2.4558599207882055
3.105102514672801,34,2.400284092485903
3.105102514672801,35,2.428005968670544
3.105102514672801,36,2.4425481103770132
3.105102514672801,37,2.392727749715247
3.105102514672801,38,2.4423385877889765
3.105102514672801,39,2.4402811127237656
3.105102514672801,40,2.4376420526579676
3.105102514672801,41,2.4528589402737664
3.105102514672801,42,2.3488979519420705
3.105102514672801,43,2.4840637621727315
3.105102514672801,44,2.5231079792248687
3.105102514672801,45,2.44594130906276
3.105102514672801,46,1.9420221293726994
3.105102514672801,47,2.196584446951383
3.105102514672801,48,2.123557178333851
3.105102514672801,49,2.024295698649313
3.105102514672801,50,2.1345737520477917
3.105102514672801,51,2.4065894948733604
3.105102514672801,52,2.233453935267098
3.105102514672801,53,2.3211891873522603
3.105102514672801,54,2.1207371183723365
3.105102514672801,55,2.2210015122664326
3.105102514672801,56,2.1884868226540894
3.105102514672801,57,2.1610872698707158
3.105102514672801,58,2.3841439730355884
3.105102514672801,59,2.4060516323708137
3.105102514672801,60,2.372566207552029
3.105102514672801,61,2.382469227964605
3.105102514672801,62,2.408421635852784
3.105102514672801,63,2.410578774934795
3.105102514672801,64,2.3609921455952483
3.105102514672801,65,2.415829425464813
3.105102514672801,66,2.4205423847605028
3.105102514672801,67,2.40288820068806
3.105102514672801,68,2.4339049274416973
3.105102514672801,69,2.4295625872166164
3.105102514672801,70,2.4080598081504756
3.105102514672801,71,2.505366954032243
3.105102514672801,72,2.4230549881764634
3.105102514672801,73,2.48311738049953
3.105102514672801,74,2.504540511769468
3.105102514672801,75,2.381449260114363
3.105102514672801,76,2.4396015587321807
3.105102514672801,77,2.379218342791813
3.105102514672801,78,2.3748602452721514
3.105102514672801,79,2.3183317652231374
3.105102514672801,80,2.477715182696513
3.105102514672801,81,2.416269136558274
3.105102514672801,82,2.3912602387274267
3.105102514672801,83,2.436571564267788
3.105102514672801,84,2.3583803289988583
3.105102514672801,85,2.415104117154261
3.105102514672801,86,2.381098110922572
3.105102514672801,87,2.5453525312857126
3.105102514672801,88,2.523464009217596
3.105102514672801,89,2.513889253843851
3.105102514672801,90,2.488651944767009
3.105102514672801,91,2.5196705504478185
3.105102514672801,92,2.476076437170965
3.105102514672801,93,2.3989455896996987
3.105102514672801,94,2.425232995612112
3.105102514672801,95,2.441206134243415
3.105102514672801,96,2.2757367513846343
3.105102514672801,97,2.43274745874537
3.105102514672801,98,2.4734272826425157
3.105102514672801,99,2.4935243050688802
