,Best Values
0,0.1
1,0.0
2,0.0
3,-0.2
4,0.1
5,0.0
6,0.3
7,0.1
8,1.0
9,0.1
10,0.0
11,0.0
12,-0.2
13,-0.1
14,0.0
15,0.3
16,-0.1
17,1.0
18,0.1
19,0.0
20,0.0
21,-0.2
22,-0.2
23,0.0
24,0.3
25,-0.2
26,0.0
27,0.1
28,0.0
29,0.0
30,-0.2
31,0.2
32,0.0
33,0.3
34,0.2
35,0.0
36,0.1
