,Best Values
0,0.0
1,0.0
2,0.0
3,-0.1
4,0.2
5,0.0
6,0.1
7,0.2
8,0.0
9,0.0
10,0.0
11,0.0
12,-0.1
13,0.2
14,0.0
15,0.1
16,0.2
17,0.0
18,0.0
19,0.0
20,0.0
21,-0.1
22,-0.2
23,0.0
24,0.1
25,-0.2
26,0.0
27,0.0
28,0.0
29,0.0
30,-0.1
31,-0.2
32,0.0
33,0.1
34,-0.2
35,0.0
36,0.1
