,Best Values
0,0.0
1,0.0
2,0.0
3,-0.2
4,0.3
5,0.0
6,0.3
7,0.4
8,1.5707963267948966
9,0.0
10,0.0
11,0.0
12,-0.2
13,-0.3
14,0.0
15,0.3
16,-0.4
17,1.5707963267948966
18,0.0
19,0.0
20,0.0
21,-0.2
22,-0.5
23,0.0
24,0.3
25,-0.4
26,1.5707963267948966
27,0.0
28,0.0
29,0.0
30,-0.2
31,0.5
32,0.0
33,0.3
34,0.4
35,1.5707963267948966
36,0.05
